acn,caseNumber,completedReferrals,completionDate,finalDecision,pendingReferrals,registrationDate,renewingDivision,renewingOffice,reopenDate,reviewStatus,type
Z1865661,,[],,,[],04/17/2025,OFFICE OF EXPORTER SERVICES,OFFICE OF EXPORTER SERVICES,,PENDING,Export License Application
Z1865660,,[],,,[],04/17/2025,FOREIGN POLICY DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1865659,,[],,,[],04/17/2025,OFFICE OF EXPORTER SERVICES,OFFICE OF EXPORTER SERVICES,,PENDING,Export License Application
Z1865658,,[],,,[],04/17/2025,DEEMED EXPORTS AND ELECTRONICS DIVISION,OFFICE OF NATIONAL SECURITY AND TECHNOLOGY TRANSFER CONTROLS,,PENDING,Export License Application
Z1865657,,[],,,[],04/17/2025,CHEMICAL AND BIOLOGICAL CONTROLS DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1865656,,[],,,[],04/17/2025,OFFICE OF MUNITIONS CONTROL DIVISION,Office of Strategic Industries and Economic Security,,PENDING,Export License Application
Z1865655,,[],,,[],04/17/2025,OFFICE OF EXPORTER SERVICES,OFFICE OF EXPORTER SERVICES,,PENDING,Export License Application
Z1865654,,[],,,[],04/17/2025,CRIME CONTROL DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1865653,,[],,,[],04/17/2025,SENSORS AND AVIATION DIVISION,OFFICE OF NATIONAL SECURITY AND TECHNOLOGY TRANSFER CONTROLS,,PENDING,Export License Application
Z1865652,,[],,,[],04/17/2025,OFFICE OF MUNITIONS CONTROL DIVISION,Office of Strategic Industries and Economic Security,,PENDING,Export License Application
Z1865651,,[],,,[],04/17/2025,OFFICE OF EXPORTER SERVICES,OFFICE OF EXPORTER SERVICES,,PENDING,Export License Application
Z1865650,,[],,,[],04/17/2025,FOREIGN POLICY DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1865649,,[],,,[],04/17/2025,CHEMICAL AND BIOLOGICAL CONTROLS DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1865648,,[],,,"[{'agency': 'Department of Defense', 'referralDate': '04/18/2025', 'closedDate': ''}, {'agency': 'Department of Energy', 'referralDate': '04/18/2025', 'closedDate': ''}, {'agency': 'Department of State', 'referralDate': '04/18/2025', 'closedDate': ''}]",04/17/2025,OFFICE OF MUNITIONS CONTROL DIVISION,Office of Strategic Industries and Economic Security,,PENDING,Export License Application
Z1865647,,[],,,[],04/17/2025,OFFICE OF EXPORTER SERVICES,OFFICE OF EXPORTER SERVICES,,PENDING,Re-Export License Application
Z1865646,,[],,,[],04/17/2025,OFFICE OF MUNITIONS CONTROL DIVISION,Office of Strategic Industries and Economic Security,,PENDING,Export License Application
Z1865645,,[],,,[],04/17/2025,OFFICE OF MUNITIONS CONTROL DIVISION,Office of Strategic Industries and Economic Security,,PENDING,Export License Application
Z1865644,,[],,,[],04/17/2025,CHEMICAL AND BIOLOGICAL CONTROLS DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1865643,,[],,,[],04/17/2025,CHEMICAL AND BIOLOGICAL CONTROLS DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1865642,,[],,,[],04/17/2025,CHEMICAL AND BIOLOGICAL CONTROLS DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1865641,,[],,,[],04/17/2025,OFFICE OF EXPORTER SERVICES,OFFICE OF EXPORTER SERVICES,,PENDING,Export License Application
Z1865640,,[],,,[],04/17/2025,INFORMATION TECHNOLOGY DIVISION,OFFICE OF NATIONAL SECURITY AND TECHNOLOGY TRANSFER CONTROLS,,PENDING,Commodity Classification Request
Z1865639,,[],,,[],04/17/2025,FOREIGN POLICY DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1865638,,[],,,"[{'agency': 'Department of Defense', 'referralDate': '04/17/2025', 'closedDate': ''}, {'agency': 'Department of State', 'referralDate': '04/17/2025', 'closedDate': ''}]",04/17/2025,OFFICE OF MUNITIONS CONTROL DIVISION,Office of Strategic Industries and Economic Security,,PENDING,Export License Application
Z1865637,,[],,,"[{'agency': 'Department of Defense', 'referralDate': '04/17/2025', 'closedDate': ''}]",04/17/2025,OFFICE OF MUNITIONS CONTROL DIVISION,Office of Strategic Industries and Economic Security,,PENDING,Export License Application
Z1865636,,[],,,[],04/17/2025,CHEMICAL AND BIOLOGICAL CONTROLS DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1865635,,[],,,[],04/17/2025,OFFICE OF MUNITIONS CONTROL DIVISION,Office of Strategic Industries and Economic Security,,PENDING,Export License Application
Z1865634,,[],,,[],04/17/2025,CHEMICAL AND BIOLOGICAL CONTROLS DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1865633,,[],,,[],04/17/2025,NUCLEAR AND MISSILE TECHNOLOGY CONTROLS DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Re-Export License Application
Z1865632,,"[{'agency': 'Department of Defense', 'referralDate': '04/17/2025', 'closedDate': '04/18/2025'}]",,,[],04/17/2025,GUN AND AMMUNITION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1865631,,[],,,[],04/17/2025,OFFICE OF MUNITIONS CONTROL DIVISION,Office of Strategic Industries and Economic Security,,PENDING,Export License Application
Z1865630,,[],,,[],04/17/2025,SENSORS AND AVIATION DIVISION,OFFICE OF NATIONAL SECURITY AND TECHNOLOGY TRANSFER CONTROLS,,PENDING,Export License Application
Z1865629,,[],,,[],04/17/2025,GUN AND AMMUNITION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1865628,,"[{'agency': 'Department of Defense', 'referralDate': '04/17/2025', 'closedDate': '04/18/2025'}]",,,"[{'agency': 'Department of State', 'referralDate': '04/17/2025', 'closedDate': ''}]",04/17/2025,GUN AND AMMUNITION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1865627,,[],,,[],04/17/2025,CRIME CONTROL DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1865626,,[],,,"[{'agency': 'Department of Defense', 'referralDate': '04/18/2025', 'closedDate': ''}, {'agency': 'Department of State', 'referralDate': '04/18/2025', 'closedDate': ''}]",04/17/2025,OFFICE OF MUNITIONS CONTROL DIVISION,Office of Strategic Industries and Economic Security,,PENDING,Export License Application
Z1865625,,[],,,[],04/17/2025,OFFICE OF MUNITIONS CONTROL DIVISION,Office of Strategic Industries and Economic Security,,PENDING,Export License Application
Z1865624,,[],,,[],04/17/2025,CRIME CONTROL DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1865623,,[],,,[],04/17/2025,OFFICE OF EXPORTER SERVICES,OFFICE OF EXPORTER SERVICES,,PENDING,Export License Application
Z1865622,,[],,,[],04/17/2025,SENSORS AND AVIATION DIVISION,OFFICE OF NATIONAL SECURITY AND TECHNOLOGY TRANSFER CONTROLS,,PENDING,Export License Application
Z1865621,,[],,,[],04/17/2025,FOREIGN POLICY DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1865620,,[],,,[],04/17/2025,NUCLEAR AND MISSILE TECHNOLOGY CONTROLS DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Commodity Classification Request
Z1865619,,[],,,[],04/17/2025,INFORMATION TECHNOLOGY DIVISION,OFFICE OF NATIONAL SECURITY AND TECHNOLOGY TRANSFER CONTROLS,,PENDING,Commodity Classification Request
Z1865618,,[],,,[],04/17/2025,NUCLEAR AND MISSILE TECHNOLOGY CONTROLS DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Commodity Classification Request
Z1865617,,[],,,[],04/17/2025,INFORMATION TECHNOLOGY DIVISION,OFFICE OF NATIONAL SECURITY AND TECHNOLOGY TRANSFER CONTROLS,,PENDING,Commodity Classification Request
Z1865616,,"[{'agency': 'Department of Defense', 'referralDate': '04/17/2025', 'closedDate': '04/18/2025'}]",,,[],04/17/2025,GUN AND AMMUNITION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1865615,,[],,,[],04/17/2025,CRIME CONTROL DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1865614,,[],,,"[{'agency': 'Department of Defense', 'referralDate': '04/18/2025', 'closedDate': ''}, {'agency': 'Department of State', 'referralDate': '04/18/2025', 'closedDate': ''}]",04/17/2025,OFFICE OF MUNITIONS CONTROL DIVISION,Office of Strategic Industries and Economic Security,,PENDING,Export License Application
Z1865613,,[],,,[],04/17/2025,CHEMICAL AND BIOLOGICAL CONTROLS DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1865612,,[],,,[],04/17/2025,FOREIGN POLICY DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1865611,,[],,,"[{'agency': 'Department of Defense', 'referralDate': '04/18/2025', 'closedDate': ''}, {'agency': 'Department of State', 'referralDate': '04/18/2025', 'closedDate': ''}]",04/17/2025,OFFICE OF MUNITIONS CONTROL DIVISION,Office of Strategic Industries and Economic Security,,PENDING,Export License Application
Z1865610,,[],,,[],04/17/2025,INFORMATION TECHNOLOGY DIVISION,OFFICE OF NATIONAL SECURITY AND TECHNOLOGY TRANSFER CONTROLS,,PENDING,Commodity Classification Request
Z1865609,,[],,,[],04/17/2025,INFORMATION TECHNOLOGY DIVISION,OFFICE OF NATIONAL SECURITY AND TECHNOLOGY TRANSFER CONTROLS,,PENDING,Commodity Classification Request
Z1865608,,[],,,[],04/17/2025,NUCLEAR AND MISSILE TECHNOLOGY CONTROLS DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1865607,,[],,,[],04/17/2025,FOREIGN POLICY DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1865606,,[],,,[],04/17/2025,NUCLEAR AND MISSILE TECHNOLOGY CONTROLS DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1865605,,[],,,[],04/17/2025,FOREIGN POLICY DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1865604,,[],,,[],04/17/2025,FOREIGN POLICY DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1865603,,[],,,[],04/17/2025,FOREIGN POLICY DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Agriculture License Exception Notice
Z1865602,,"[{'agency': 'Department of Defense', 'referralDate': '04/17/2025', 'closedDate': '04/18/2025'}]",,,"[{'agency': 'Department of State', 'referralDate': '04/17/2025', 'closedDate': ''}]",04/17/2025,GUN AND AMMUNITION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1865601,,"[{'agency': 'Department of Defense', 'referralDate': '04/17/2025', 'closedDate': '04/18/2025'}]",,,[],04/17/2025,GUN AND AMMUNITION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1865600,,[],,,[],04/17/2025,CHEMICAL AND BIOLOGICAL CONTROLS DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1865599,,[],,,[],04/17/2025,NUCLEAR AND MISSILE TECHNOLOGY CONTROLS DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1865598,,"[{'agency': 'Department of Defense', 'referralDate': '04/17/2025', 'closedDate': '04/18/2025'}]",,,"[{'agency': 'Department of State', 'referralDate': '04/17/2025', 'closedDate': ''}]",04/17/2025,GUN AND AMMUNITION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1865597,,[],,,[],04/17/2025,DEEMED EXPORTS AND ELECTRONICS DIVISION,OFFICE OF NATIONAL SECURITY AND TECHNOLOGY TRANSFER CONTROLS,,PENDING,Export License Application
Z1865596,,[],,,[],04/17/2025,OFFICE OF MUNITIONS CONTROL DIVISION,Office of Strategic Industries and Economic Security,,PENDING,Commodity Classification Request
Z1865595,,[],,,[],04/17/2025,OFFICE OF EXPORTER SERVICES,OFFICE OF EXPORTER SERVICES,,PENDING,Export License Application
Z1865594,,"[{'agency': 'Department of Defense', 'referralDate': '04/17/2025', 'closedDate': '04/18/2025'}]",,,[],04/17/2025,GUN AND AMMUNITION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1865593,,[],,,[],04/17/2025,CRIME CONTROL DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1865592,,[],,,[],04/17/2025,FOREIGN POLICY DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1865591,,[],,,[],04/17/2025,DEEMED EXPORTS AND ELECTRONICS DIVISION,OFFICE OF NATIONAL SECURITY AND TECHNOLOGY TRANSFER CONTROLS,,PENDING,Export License Application
Z1865590,,[],,,[],04/17/2025,CRIME CONTROL DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1865589,,[],,,"[{'agency': 'Department of Defense', 'referralDate': '04/17/2025', 'closedDate': ''}, {'agency': 'Department of State', 'referralDate': '04/17/2025', 'closedDate': ''}]",04/17/2025,OFFICE OF MUNITIONS CONTROL DIVISION,Office of Strategic Industries and Economic Security,,PENDING,Re-Export License Application
Z1865588,,[],,,"[{'agency': 'Department of Defense', 'referralDate': '04/18/2025', 'closedDate': ''}, {'agency': 'Department of State', 'referralDate': '04/18/2025', 'closedDate': ''}]",04/16/2025,OFFICE OF MUNITIONS CONTROL DIVISION,Office of Strategic Industries and Economic Security,,PENDING,Export License Application
Z1865587,,[],,,[],04/16/2025,DEEMED EXPORTS AND ELECTRONICS DIVISION,OFFICE OF NATIONAL SECURITY AND TECHNOLOGY TRANSFER CONTROLS,,PENDING,Export License Application
Z1865586,,[],,,[],04/16/2025,DEEMED EXPORTS AND ELECTRONICS DIVISION,OFFICE OF NATIONAL SECURITY AND TECHNOLOGY TRANSFER CONTROLS,,PENDING,Export License Application
Z1865585,,[],,,"[{'agency': 'Department of Defense', 'referralDate': '04/17/2025', 'closedDate': ''}, {'agency': 'Department of State', 'referralDate': '04/17/2025', 'closedDate': ''}]",04/16/2025,OFFICE OF MUNITIONS CONTROL DIVISION,Office of Strategic Industries and Economic Security,,PENDING,Export License Application
Z1865584,,[],,,[],04/16/2025,CHEMICAL AND BIOLOGICAL CONTROLS DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1865583,,[],,,[],04/16/2025,INFORMATION TECHNOLOGY DIVISION,OFFICE OF NATIONAL SECURITY AND TECHNOLOGY TRANSFER CONTROLS,,PENDING,Commodity Classification Request
Z1865582,,[],,,[],04/16/2025,DEEMED EXPORTS AND ELECTRONICS DIVISION,OFFICE OF NATIONAL SECURITY AND TECHNOLOGY TRANSFER CONTROLS,,PENDING,Export License Application
Z1865581,,[],,,[],04/16/2025,NUCLEAR AND MISSILE TECHNOLOGY CONTROLS DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1865580,,[],,,[],04/16/2025,DEEMED EXPORTS AND ELECTRONICS DIVISION,OFFICE OF NATIONAL SECURITY AND TECHNOLOGY TRANSFER CONTROLS,,PENDING,Export License Application
Z1865579,,[],,,[],04/16/2025,GUN AND AMMUNITION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Commodity Classification Request
Z1865578,,[],,,[],04/16/2025,OFFICE OF MUNITIONS CONTROL DIVISION,Office of Strategic Industries and Economic Security,,PENDING,Export License Application
Z1865577,,[],,,"[{'agency': 'Department of Defense', 'referralDate': '04/17/2025', 'closedDate': ''}]",04/16/2025,DEEMED EXPORTS AND ELECTRONICS DIVISION,OFFICE OF NATIONAL SECURITY AND TECHNOLOGY TRANSFER CONTROLS,,PENDING,Commodity Classification Request
Z1865576,,[],,,"[{'agency': 'Department of Defense', 'referralDate': '04/17/2025', 'closedDate': ''}]",04/16/2025,DEEMED EXPORTS AND ELECTRONICS DIVISION,OFFICE OF NATIONAL SECURITY AND TECHNOLOGY TRANSFER CONTROLS,,PENDING,Commodity Classification Request
Z1865575,,[],,,"[{'agency': 'Department of Defense', 'referralDate': '04/17/2025', 'closedDate': ''}]",04/16/2025,DEEMED EXPORTS AND ELECTRONICS DIVISION,OFFICE OF NATIONAL SECURITY AND TECHNOLOGY TRANSFER CONTROLS,,PENDING,Commodity Classification Request
Z1865574,,[],,,"[{'agency': 'Department of Defense', 'referralDate': '04/17/2025', 'closedDate': ''}]",04/16/2025,DEEMED EXPORTS AND ELECTRONICS DIVISION,OFFICE OF NATIONAL SECURITY AND TECHNOLOGY TRANSFER CONTROLS,,PENDING,Commodity Classification Request
Z1865573,,[],,,[],04/16/2025,OFFICE OF MUNITIONS CONTROL DIVISION,Office of Strategic Industries and Economic Security,,PENDING,Export License Application
Z1865572,,[],,,[],04/16/2025,INFORMATION TECHNOLOGY DIVISION,OFFICE OF NATIONAL SECURITY AND TECHNOLOGY TRANSFER CONTROLS,,PENDING,Export License Application
Z1865571,,[],,,[],04/16/2025,GUN AND AMMUNITION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1865570,,[],,,[],04/16/2025,GUN AND AMMUNITION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1865569,,[],,,[],04/16/2025,CRIME CONTROL DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1865568,,[],,,"[{'agency': 'Department of Defense', 'referralDate': '04/17/2025', 'closedDate': ''}]",04/16/2025,DEEMED EXPORTS AND ELECTRONICS DIVISION,OFFICE OF NATIONAL SECURITY AND TECHNOLOGY TRANSFER CONTROLS,,PENDING,Commodity Classification Request
Z1865567,,[],,,[],04/16/2025,CRIME CONTROL DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1865566,,"[{'agency': 'Department of Defense', 'referralDate': '04/17/2025', 'closedDate': '04/18/2025'}]",,,"[{'agency': 'Department of State', 'referralDate': '04/17/2025', 'closedDate': ''}]",04/16/2025,GUN AND AMMUNITION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1865565,,[],,,[],04/16/2025,DEEMED EXPORTS AND ELECTRONICS DIVISION,OFFICE OF NATIONAL SECURITY AND TECHNOLOGY TRANSFER CONTROLS,,PENDING,Export License Application
Z1865564,,[],,,[],04/16/2025,FOREIGN POLICY DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Agriculture License Exception Notice
Z1865563,,[],,,"[{'agency': 'Department of Defense', 'referralDate': '04/17/2025', 'closedDate': ''}]",04/16/2025,OFFICE OF MUNITIONS CONTROL DIVISION,Office of Strategic Industries and Economic Security,,PENDING,Commodity Classification Request
Z1865562,,[],,,[],04/16/2025,OFFICE OF MUNITIONS CONTROL DIVISION,Office of Strategic Industries and Economic Security,,HOLD WITHOUT ACTION (04/18/2025),Commodity Classification Request
Z1865561,,[],,,[],04/16/2025,NUCLEAR AND MISSILE TECHNOLOGY CONTROLS DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1865560,,[],,,[],04/16/2025,INFORMATION TECHNOLOGY DIVISION,OFFICE OF NATIONAL SECURITY AND TECHNOLOGY TRANSFER CONTROLS,,PENDING,Export License Application
Z1865559,,[],,,[],04/16/2025,DEEMED EXPORTS AND ELECTRONICS DIVISION,OFFICE OF NATIONAL SECURITY AND TECHNOLOGY TRANSFER CONTROLS,,HOLD WITHOUT ACTION (04/17/2025),Commodity Classification Request
Z1865558,,[],,,[],04/16/2025,INFORMATION TECHNOLOGY DIVISION,OFFICE OF NATIONAL SECURITY AND TECHNOLOGY TRANSFER CONTROLS,,PENDING,Commodity Classification Request
Z1865557,,[],,,[],04/16/2025,CHEMICAL AND BIOLOGICAL CONTROLS DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1865556,,[],,,[],04/16/2025,GUN AND AMMUNITION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1865555,,[],,,[],04/16/2025,CHEMICAL AND BIOLOGICAL CONTROLS DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
Z1865554,,[],,,[],04/16/2025,OFFICE OF MUNITIONS CONTROL DIVISION,Office of Strategic Industries and Economic Security,,HOLD WITHOUT ACTION (04/18/2025),Export License Application
Z1865553,,[],,,[],04/16/2025,SENSORS AND AVIATION DIVISION,OFFICE OF NATIONAL SECURITY AND TECHNOLOGY TRANSFER CONTROLS,,PENDING,Commodity Classification Request
Z1865552,,[],,,[],04/16/2025,CRIME CONTROL DIVISION,OFFICE OF NONPROLIFERATION AND TREATY COMPLIANCE,,PENDING,Export License Application
